"","X","lyrics","song","year","album","peak","us_pop","us_rnb","decade","chart_level","charted"
"37",538,"what the matter with your life  is the poverty bringing you down  is the mailman jerking you  round  did he put your million dollar check in someone else box  tell me  what the matter with your world  was it a boy when you wanted a girl  do not you know straight hair ai not got no curl  life it ai not real funky unless it got that pop  dig it pop life  everybody needs a thrill pop life  we all got a space to fill pop life  everybody can not be on top but life it ai not real funky unless it got that pop  dig it tell me  what that underneath your hair  is there anybody living there  you can not get over  if you say you just do not care show me a boy who stays in school and i will show you a boy aware  dig it pop life  everybody needs a thrill pop life  we all got a space to fill pop life  everybody can not be on top life it ai not real funky unless it got that pop  dig it what you putting in your nose  is that where all your money goes  the river of addiction flows  you think it hot but there will not be no water when the fire blows  dig it pop life  everybody needs a thrill pop life  we all got a space to fill pop life  everybody wants to be on top life it ai not real funky unless it got that pop everybody needs a thrill pop life  we all got a space to fill pop life  everybody can not be on top life it ai not real funky baby unless it got that pop  dig it","pop life",1985,"Around the World in a Day",7,"7","8","1980s","Top 10","Charted"
"38",341,"i am not a woman  i am not a man i am something that you will never understand i will never beat you  i will never lie and if you are evil  i will forgive you by and by  cause you  i would die for you  yeah darling  if you want me to you  i would die for you i am not your lover  i am not your friend i am something that you will never comprehend no need to worry  no need to cry i am your messiah and you are the reason why  cause you  i would die for you  yeah darling  if you want me to you  i would die for you you are just a sinner i am told be your fire when you are cold make you happy when you are sad make you good when you are bad i am not a human  i am a dove i am your conscious  i am love all i really need is to know that you believe yeah  i would die for you  yeah darling  if you want me to you  i would die for you yeah  say one more time you  i would die for you darling  if you want me to you  i would die for you 2  3  4  you i would die for you i would die for you you  i would die for you you  i would die for you","i would die 4 u",1984,"Purple Rain",3,"8","11","1980s","Top 10","Charted"
"39",3,"do not worry  i will not hurt you i only want you to have some fun i was dreamin  when i wrote this forgive me if it goes astray but when i woke up this mornin  could have sworn it was judgment day the sky was all purple there were people runnin  everywhere tryin  to run from the destruction you know i did not even care  cuz they say 2000 zero zero party over  oops  out of time  so tonight i am gonna party like it 1999 i was dreamin  when i wrote this so sue me if i go too fast but life is just a party and parties were not meant to last war is all around us  my mind says   prepare to fight  so if i gotta die  i am gonna listen to my body tonight yeah  they say 2000 zero zero party over  oops  out of time  so tonight i am gonna party like it 1999   yeah  yeah  people  let me tell you somethin  if you did not come to party do not bother knockin  on my door i got a lion in my pocket and  baby  he ready to roar  yeah  everybody got a bomb  we could all die any day  oh  but before i let that happen  i will dance my life away oh  they say 2000 zero zero party over  oops  out of time   we are runnin  out of time  so tonight i am gonna party like it 1999   we gonna  we gonna  oh   say it one more time 2000 zero zero party over  oops  out of time   no  no  so tonight i am gonna party like it 1999   we are gonna  we gonna  alright  1999  you say it  1999  1999  1999  do not stop  do not stop  say it one more time 2000 zero zero party over  oops  out of time   yeah  yeah  so tonight i am gonna party like it 1999   we gonna  we are gonna  yeah  1999  1999  do not you wanna go   1999  do not you wanna go   1999  we could all die any day  1999  i do not wanna die  i would rather dance my life away  1999  listen to what i am tryin  to say everybody  everybody say party come on now  you say it  party   that right  everybody say  party    unverified  ca not run from revelation  no sing it for your nation  y all dreamin  when you are singin   baby say the telephone a ringin   mama  now come on  come on  you say everybody  two times work it down to the ground  i am sayin   oh baby  say it again   oh  shake your body  baby   that right  come on  sing the song that right  everybody say got a lion in my pocket mama  say ah  and he ready to roar  yeah mommy  why does everybody have a bomb  mommy  why does everybody have a bomb ","1999",1982,"1999",2,"12","4","1980s","Top 10","Charted"
"40",5,"one mix  one mix  one mix  one mix one mix  one mix  one mix  one mix dj  turn it up  turn it up let go  3121 hey mommy  it loco right  3121  come on through the gates  knock on the door put your clothes in a pile  on the floor take your pick from the japaneses robes and sandals drink champagne from a glass  with chocolate handles do not you wanna come  3121 gonna be so much fun  3121 that where the party be  3121 you can come if you want to  but you can never leave look over there  there another turn on  look over there  butterflies scared that they are gonna be awake all night long  all night long  dancing in your belly  like a ballerina in spite of your efforts to calm them down do not you wanna come  3121 gonna be so much fun  3121 that where the party be  3121 you can come if you want to  but you can never leave bounce party y all it going down people like the wall of berlin lock the door  lock the door  til you see the sun  til you see it  we gonna party  like there ai not going be  another one futuristic  fantasy  this is where the purple party people be yeah  this is where the party be  3121 this is where the party be  3121 breakdown  guitar do not you wanna come  3121 it gonna be so much fun  3121  yes it is  that where the party be  3121 you can come if you want to  but y all can not never leave  not ever  it going down y all like the wall of berlin","3121",2006,"3121",1,"1","1","2000s","Top 10","Charted"
"41",464,"heard about the party now just east of harlem dougie gonna be there but you got to call him even the soldiers need a break sometimes listen to the groove y all let it unwind your mind no intoxication unless you see what i see dancin  hot and sweaty right in front of me call it what you like i am gonna how it be this is just another one of god gifts musicology you gotta party movin  like i told you kick the old school joint for the true funk soldiers musicology wish i had a dollar for everytime you say do not you miss the feeling music gave you  back in the day  let groove  september earth  wind and fire hot pants by james sly gonna take you higher minor keys and drugs do not make a rollerskate jam take your pick turntable or a band  if it ai not chuck d or jam master jay know what  they are losin   cause we got a p h d in advanced body movin  keep the party movin  just like i told you kick the old school joint for the true funk soldiers musicology all right hold down baby musicology musicology everybody get down the love struck old school joint for the true funk soldiers keep the party movin  keep party keep keep d ont start moving keep party movin  music got you keep party movin  keep the party movin  just like i told you kick the old school joint for the true funk soldiers musicology for the true funk soldiers","musicology",2004,"Musicology",4,"120","44","2000s","Top 10","Charted"
"42",701,"i am not gonna kill you i want you to do me a favor i want you to tell all your friends about me what are you  i am batman i have seen the future and it will be i have seen the future and it works if there life after  we will see so i can not go like a jerk systematic overthrow of the underclass hollywood conjures images of the past new world needs spirituality that will last i have seen the future and it will be i have seen the future and it will be i have seen the future and it works if there life after  we will see so i can not go like a jerk yellow smiley offers me x like he drinking 7up i would rather drink 6 razor blades  razor blades from a paper cup he can not understand  i say too tough it just that i have seen the future and  boy  it rough i have seen the future and it will be i have seen the future and it works and if there life after  we will see so you can not go like a jerk  no  no i have seen the future and it will be wait a minute pretty pony standing on the avenue flashing loaded pistol  too dumb to be true somebody told him playing cops and robbers was cool would our rap have been different if we only knew  i have seen the future and it will be i have seen the future and it works and if there life after  we will see do not go out like a jerk systematic overthrow of the underclass hollywood conjures images of the past new world needs spirituality that will last i have seen the future and it will be  alright i have seen the future and it will be i have seen the future and it will be  oh i have seen the future and it will be i have seen the future and it will be i have seen the future and it will be think about the future","the future",1989,"Batman",7,"n/a","n/a","1980s","Top 10","Charted"
"43",415,"i guess i shoulda known by the way you parked your car sideways that it would not last see you are the kinda person that believes in makin  out once love  em and leave  em fast i guess i must be dumb  cuz you had a pocket full of horses trojan and some of them used but it was saturday night i guess that makes it all right and you say what have i got to lose  and honey i say little red corvette  baby  you are much too fast little red corvette  you need a love that gonna last i guess i shoulda closed my eyes when you drove me to the place where your horses run free  cuz i felt a little ill when i saw all the pictures of the jockeys that were there before me believe it or not i started to worry i wondered if i had enough class but it was saturday night i guess that makes it all right and you say   baby  have you got enough gas   oh yeah little red corvette  baby  you are much too fast  yes  you are little red corvette  you need to find a love that gonna last  how long  ooh  ooh  ooh ooh  ooh  ooh a body like yours oughta be in jail  cuz it on the verge of bein  obscene move over baby  gimme the keys i am gonna try to tame your little red love machine little red corvette  baby  you are much too fast little red corvette  you need to find a love that gonna last little red corvette  honey  you got to slow down  got to slow down  little red corvette   cuz if you do not you gonna run into  incomprehensible  little red corvette  right down to the ground  honey you got to slow down  you  you  got to slow down little red corvette  you are movin  much too fast too fast  you need to find a love that gonna last girl  you got an ass like i never seen and the ride  i say the ride is so smooth you must be a limousine baby  you are much too fast little red corvette  you need a love you need a love that ah  that gonna last little red corvette  you got to slow down  you got to slow down  little red corvette   cuz if you do not   cuz if you do not you gonna run your body right into the ground right into the ground  right into the ground right into the ground  little red corvette","little red corvette",1982,"1999",5,"6","15","1980s","Top 10","Charted"
"44",797,"dig if you will  the picture of you and i engaged in a kiss the sweat of your body covers me can you my darling  can you picture this  dream if you can a courtyard an ocean of violets in bloom animals strike curious poses they feel the heat  the heat between me and you how can you just leave me standing alone in a world that so cold  maybe i am just too demanding maybe i am just like my father  too bold maybe you are just like my   she never satisfied why do we s  at each other  this is what it sounds like when the doves cry touch if you will  my stomach feel how it trembles inside you have got the butterflies all tied up do not make me chase you  even doves have pride how can you just leave me standing alone in a world so cold  maybe i am just too demanding maybe i am just like my father  too bold maybe you are just like my   she never satisfied why do we s  at each other  this is what it sounds like when doves cry how can you just leave me standing alone in a world that so cold  maybe i am just too demanding maybe i am just like my father  too bold maybe you are just like my   she never satisfied why do we s  at each other  this is what it sounds like when doves cry when doves cry  when doves cry  when doves cry do not cry oh yeah all right  oh yeah oh yeah oh yeah oh yeah  oh yeah oh yeah oh yeah oh yeah  oh yeah oh yeah when doves cry  when doves cry when doves cry ah  ah  ah  ooo ah  ah  ah  ah  ooo when doves cry  do not cry darling do not cry do not cry  do not cry  do not  do not cry","when doves cry",1984,"Purple Rain",1,"1","1","1980s","Top 10","Charted"
"45",666,"all my friends tell me about the loves they have had ca not they see what they are doin  to me  it makes me feel so bad  cause i am so alone and broken hearted it ai not like my life is ended  but more like it never started the love my friends rap about  i keep anticipatin  i try so hard but do not you know  my patience is fadin  away  away still waitin  i am waitin  for that love still waitin  i wish on every star above still waitin  waitin  for the love to come around oh  love waitin  for the love to come around people say that i am too young too young to fall in love but they do not know  they really do not know that all that i have been dreamin  of  cause i spend my nights just a cryin  and i spend my days just a tryin  to find that love to call my own  cause i am sick and tired of bein  alone still waitin  waitin  for that love still waitin  i wish on every star above still waitin  i am waitin  for the love to come around  waiting for the love  do not you know that i am waitin     waitin  for the love  say    waitin  for the love  to come around now i need somebody to hold on to baby waitin  and waitin   do not you know that i am still waitin  i am waitin  for your love  sugar still waitin  if you are out there girl  please come to me still waitin  do not make me cry no more still waitin  if you are out there  baby  please come to me still waitin  wishin  and wishin  for days  baby still waitin  if you are out there  girl  please come to me still waitin   oh","still waiting",1979,"Prince",65,"-","65","1970s","Top 100","Charted"
"46",478,"lay down your funky weapon yeah y all  here we go pumpin  the big noise in the 90 pardon me for living  but this is my world too i can not help that what cool to us might be strange to you pardon me for breathing  can we borrow some of your air  the problem with you and your kind is that you do not know love is there lay down your funky weapon  come join us on the floor making love and music the only things worth fighting for we are the new power generation we want to change the world the only thing that in our way is you your old fashioned music  your old ideas sick and tired of you telling us what to do pardon me for thinking but there something under my hair i bet you thought the lights were on but no one living there you think that if you tell enough lies they will see the truth  i hope they bury your old ideas the same time they bury you lay down your funky weapon  come join us on the floor making love and music the only things worth fighting for we are the new power generation we want to change the world the only thing that in our way is you your old fashioned music  your old ideas sick and tired of you telling us what to do we are the new  we are the new  we are the new making love and music  new power  we stand pardon us for caring  we did not know it was against the rules if we only wanna love one another then tell me now who the fool no father  no    no sister  no brother  nobody can make me stop said if you did not come to party child  i think you better get up off my block lay down your funky weapon  come join us on the floor making love and music the only things worth fighting for we are the new power generation we want to change the world the only thing that in our way is you your old fashioned music  your old ideas sick and tired of you telling us what to do why do not you just be happy  baby  we are the new power generation we want to change the world the only thing that in our way is you your old fashioned music  your old ideas sick and tired of you telling us what to do new power generation  you have got to rearrange we are the new power generation  you have gotta give up all the fight we gotta try to love one another  baby  we are the new power generation we are the new power generation  we are the new power generation","new power generation",1990,"Graffiti Bridge",11,"64","27","1990s","Top 100","Charted"
"47",640,"hey  lover  i got a sugarcane that i wanna lose in you baby can you stand the pain hey  lover  sugar do not you see  there so many things that you do to me ooo baby all i wanna see is the love in your eyes    hey  lover  and all i wanna hear is your sweet love sighs all i wanna feel is burning flames    hey  lover  tell me  tell me  baby  that you feel the same tell me that you feel the same way i do tell me that you love me girl we would be so lost  in our mouths the best  i feel it everyday  every way  you feel so wrong  be alone if you just follow somebody someday soft and wet soft and wet soft and wet soft and wet every time i am with you  you just love me to death ooo wee  baby  you leave me without breath  ooo  baby  ooo  yeah you are just as soft as a lion tamed    hey  lover  you are just as wet as the evening rain how will i take it when you call my name     hey  lover  your love is driving me you are driving me insane crazy  baby oh  girl crazy  bout your love soft and wet  you know  you are soft and wet  oh  sugar  your love is soft and wet soft and wet","soft and wet",1978,"For You",12,"92","12","1970s","Top 100","Charted"
"48",176,"there something about you  baby it happens all the time whenever i am around you  baby i get a dirty mind it does not matter where we are it does not matter who around it does not matter i just wanna lay you down in my daddy car it you i really wanna drive but you never go too far i may not be your kind of man i may not be your style but honey all i wanna do is just love you for a little while if you got the time i will give you some money to buy a dirty mind do not misunderstand me i never fool around but honey you got me on my knees wo not you please let me lay you down   down  down  down  i really get a dirty mind  mind  mind  mind  whenever you are around it happens to me everytime  time  time  time  you just gotta let me lay you gotta let me lay you  lay you you just gotta let me lay you gotta let me lay you down in my daddy car it you i really wanna drive underneath the stars i really get a dirty mind whenever you are around i do not wanna hurt you  baby i only want to lay you down","dirty mind",1980,"Dirty Mind",7,"45","7","1980s","Top 10","Charted"
"49",655,"space i have never been one to hide my feelings baby  you blow my mind i painted your face upon my ceiling i stare at it all the time i imagine myself inside your bedroom oh  i imagine myself in your sky you  you are the reason there bass in my boom oh you  you are the reason i am high if you and i were just ten feet closer then i would make you understand everything i wanna do to your body  baby i would do to your head then you would be hip to the deep rush deeper than the boom of the bass with every other flick of the pink plush the closer we get to the space the space the space the space do not you want to go  the space where the souls go the space where the tears flow the space where the love grows do you want to go  i never been one for this thing obsession but just keep your eye on my hips the circles they may be my confession just say the word and i will strip i have had dreams of us cuddling on the planet mars then when i wake up  i am all covered in sex with eyes that fall somewhere between rubies and stars do not look at me baby or i will flex if you and i were just ten feet closer then i would make you understand that everything i wanna do to your body  baby i would do to your head then you would be hip to the deep rush deeper than the boom of the bass with every other flick of the pink plush the closer we get to the space the space go the space flow the space grow do you want to go  the space where the souls go the space where the tears flow the space where the love grows do you want to go  bass the space  the space  the space the space  the space  the space closer we get to the space the space  the space  the space  the space","space",1994,"Come",71,"-","71","1990s","Top 100","Charted"
"50",349,"if i was your girlfriend would you remember  to tell me all the things you forgot when i was your man  hey  hey when i was your man if i was your best friend would you let me take care of  you and do all the things that only a best friend can  oh only best friends can if i was your girlfriend if i was your girlfriend if i was your girlfriend would you let me dress you i mean  help you pick out your clothes before we go out not that you are helpless but sometime  sometime those are the things that bein  in love about if i was your one and only friend would you run to me if somebody hurt you even if that somebody was me  sometimes i trip on how happy we could be please if i was your girlfriend if i was your girlfriend would you let me wash your hair  could i make you breakfast sometime or then  could we just hang out  i mean could we go to a movie and cry together  cause to me baby that would be so fine if i was your girlfriend baby can i dress you i mean  help you pick out your clothes before we go out if i was your girlfriend listen girl  i ai not sayin  you are helpless but sometime  sometime those are the things that bein  in love about sugar do you know what i am saying to you this evening  maybe you think i am being a little self centered i  i said   i want to be all of the things you are to me  surely  surely you can see is it really necessary for me to go out of the room just because you wanna undress  we do not have to make children to make love and we do not have to make love to have an orgasm","if i was your girlfriend",1987,"Sign o' the Times",8,"67","12","1980s","Top 10","Charted"
"51",523,"gentlemen  let broaden our minds lawrence all hail  the new king in town young and old  gather  round  yeah black and white  red and green  funky the funkiest man  you have ever seen tell you what his name is partyman  partyman rock a party like nobody can rules and regulations  no place in his nation partyman  partyman party people  say it now  yeah yeah yeah yeah somebody holler if you wanna party ladies and gentlemen  no pictures  please get it up  oh yeah partyman  partyman get it up  get it up ooh  i love purple i rock the party  i rock the house i rock the whole world north  east and south in the west  17 horns blowin  partyman  partyman lose me now boy get it up all hail the new king in town ai not nothin  but a muffin we gotta lotta butter to go yay aye  an  i like ya  way  but do not come now and if it break when it bend you better not put it in giddy up ride  em boy partyman  partyman partyman partyman  partyman young and old  gather  round everybody hail  the new king in town","partyman",1989,"Batman",5,"18","5","1980s","Top 10","Charted"
"52",392,"you do not have to be beautiful to turn me on i just need your body  baby  from dusk till dawn you do not need experience to turn me out you just leave it all up to me  i am gonna show you what it all about you do not have to be rich to be my girl you do not have to be cool to rule my world ai not no particular sign i am more compatible with i just want your extra time and your kiss you got to not talk dirty  baby  if you wanna impress me you can not be to flirty  mama  i know how to undress me  yeah i want to be your fantasy  maybe you could be mine you just leave it all up to me  we could have a good time you do not have to be rich to be my girl you do not have to be cool to rule my world ai not no particular sign i am more compatible with i just want your extra time and your kiss yes  oh  i think i wanna dance  uh gotta  gotta  oh little girl wendy parade gotta  gotta  gotta women  not girls  rule my world  i said they rule my world act your age  mama  not your shoe size  maybe we could do the twirl    not your shoe size  you do not have to watch dynasty to have an attitude  uh you just leave it all up to me  my love will be your food  yeah you do not have to be rich to be my girl you do not have to be cool to rule my world ai not no particular sign i am compatible with  i just want your extra time and your kiss","kiss",1986,"Parade",1,"1","1","1980s","Top 10","Charted"
"53",714,"he realized that she was new to love naive in every way every schoolboy fantasy she was that why he had to wait if they poured his heart into a glass and offered it like wine she could drink and be back in time for the morning papers they could take a walk down the oceanside make a wish on every wave they could find a carousel and ride or kiss in every cave they could contemplate the entire universe or just one star or just how far was the walk for the morning papers let me play it for you one time  oh oh well hey shucks why is age more than a number when it comes to love  should we ask the ones who speculate when they do not know what it made of  should we ask the moonlight on your face or the raindrops in your hair or should we ask the man who wrote it there in the morning papers  should we ask the moonlight on your face or the raindrops in your hair should we ask the man who wrote it there in the morning papers  oh  yes somebody help me sing it now ohh  yeah yes go play okay","the morning papers",1992,"Symbol",24,"44","68","1990s","Top 100","Charted"
"54",310,"hot thing hot thing  barely 21 hot thing  looking for big fun hot thing  what your fantasy  hot thing  do you wanna play with me  hot thing  baby you dance so good hot thing  baby i knew you would hot thing  tell me what you see hot thing  when you smile  when you smile  when you smile are your smiles  are your smiles for me  hot thing  maybe you should give your folks a call hot thing  tell them you are goin  to the crystal ball hot thing  tell them you are comin  home late if you are comin  home at all hot thing  tell them you found a brand new baby doll hot thing  i can not wait to get you home hot thing  where we could be alone hot thing  i could read you poetry and then we could make a story of our own hot thing hot  hot  hot thing hot thing  hot thing hot thing  hot thing hot thing  barely 21 hot thing  lookin  for big fun hot thing  what your fantasy  hot thing  do not you wanna play with me  hot thing  i can not wait to get you home hot thing","hot thing",1987,"Sign o' the Times",4,"63","4","1980s","Top 10","Charted"
"55",119,"hey  yeah carjack used to fix flat tires cadillac used to be a benz big joints never gotcha higher freebase cost you in the end i am just a no name reporter i wish i had nothing to say looking through my new camcorder trying to find a crime that pays i get hit by mortars  everywhere i go i am loitering chaos and disorder ruinin  my world today he gay  used to mean he happy nowadays happy ai not allowed you are played  used to mean top forty now forty days of being played ai not proud i am just a no name reporter i wish i had nothing to say looking through my new camcorder trying to find a crime that pays i get hit by mortars  everywhere i go i am loitering chaos and disorder ruinin  my world today yeah  yeah  yeah yeah  yeah  yeah safe sex used to mean no babies when intercourse used to mean fun if i had fifteen ladies i would only   with one i get hit by a mortar  everywhere i go i am loitering chaos and disorder ruinin  my world today yeah  yeah  yeah yeah  yeah  yeah whoa","chaos and disorder",1996,"Chaos and Disorder",8,"26","-","1990s","Top 10","Charted"
"56",172,"dinner with delores must be some kind of sin like a brontosaurus  she was packin  it in the first night we dined and by the next time this girl was eatin  all but the tip and by the stroke of midnight  she wanted some more showin  dirty movies like some kind of whore but she was wastin  her time  cause there was not a line that would make me come around her door dinner with delores must be some kind of sin her bell just a broken since 1984 dancin  like a white girl on disco dirty floors    delores  pick another subject please introduce the carpet to something other than your knees like a real confession no one could be more made up than you nothin left for guessin   what a shame  boo hoo delores delores i would call you a friend  but it must be a sin and i have run out of cheeks to turn dinner with delores no more that the end","dinner with delores",1996,"Chaos and Disorder",36,"-","-","1990s","Top 100","Charted"
"57",244,"you must have heard it on the news this morning congratulations  a new star is born sun to a shadow  rose to a thorn there ai not no fury like a woman scorned y all must have dug it  when you did your thang it like a song  everybody wanna sang when the music over  your ears ring with a voice that saying   queen got no king  he got a message saying  you tried to reach him on the phone he did not wanna answer  cuz he so afraid you would probably tell him just to leave you alone you must have heard he got another band they are makin  money  they are makin  plans you feel left out but you need to understand word on the street  he still your man he still your man  he still your man look out  look out  look out  here comes your rainy day now you think you got a good reason to say everything that in your heart  come what may even though his might get broken who the guilty one when there ai not no judge or jury  shadow to the sun  next to the one hell ai not got no fury it will approach us  the debt he been in open to the heart in need of mending will this song have a happy ending  only the woman knows  only she knows two sides to every story one man gloom is another man glory sun to a shadow  rose to a thorn there ai not no fury like a woman scorned ai not no fury like a woman scorned no fury like a woman scorned no fury like a woman scorned","fury",2006,"3121",60,"n/a","n/a","2000s","Top 100","Charted"
"58",761,"here we are folks the dream we all dream off boy versus girl in the world series of love tell me  have you got the look  you walked in  i woke up i never seen a pretty girl look so tough  baby you got that look color you peach and black color me takin  a back crucial  i think i want you you have got the look  you have got the hook you sho nuf do be cookin  in my book your face is jammin   your body heck a slammin  if love is good let get to rammin  u got the look u got the look look here  you got the look  you must a took a whole hour just to make up your face  baby closin  time  ugly lights  everybody inspected but you are a natural beauty unaffected did i say an hour  my face is red  i stand corrected you have got the look  you have got the hook you sho nuf do be cookin  in my book your face is jammin   your body heck a slammin  if love is good let get to rammin  u got the look u got the look well here we are  ladies and gentlemen the dream we all dream of boy versus girl in the world series of love slammin  you walked in  i woke up i never seen such a pretty girl look so tough baby  you got that look  yes you do color you peach and black color me takin  aback  baby crucial  i think i want you you have got the look  you have got the hook you sho nuf do be cookin  in my book your face is jammin   your body heck a slammin  if your love is good let get to rammin  now u got the look u got the look here we are folks the dream we all dream of u got the look u got the look u got the look u got the look u got the look","u got the look",1987,"Sign o' the Times",2,"2","11","1980s","Top 10","Charted"
"59",63,"yeah  shotgun  peace eh  yeah  eh  eh  yeah  eh aristocrats on a mountain climb makin  money  losin  time communism is just a word but if the government turn over it will be the only word that heard america  america god shed his grace on thee america  america keep the children free little sister make minimum wage livin  in a one room jungle  monkey cage ca not get over  she almost dead she may not be in the black but she happy she ai not in the red america  america god shed his grace on thee america  america keep the children free freedom  love  joy  peace jimmy nothing never went to school they made him pledge allegiance he said it was not cool nothin  made jimmy proud now jimmy live on a mushroom cloud america  america god shed his grace on thee america  america keep the children free america  america god shed his grace on thee america  america keep the children free freedom  love  joy  peace boom  boom  boom  boom  oh lord  oh lord  and the bomb go boom  boom  boom  boom and the bomb go boom teacher  why will not jimmy pledge allegiance ","america",1985,"Around the World in a Day",35,"47","35","1980s","Top 100","Charted"
"60",205,"prince emancipation  cd 3  emancipation ever since i was a little baby  i had 2 have double everything  when they tell me that enough  that when i wanna fill my cup  2 the top  johnny  hear me sing  chorus   emancipation   free 2 do what i wanna  emancipation   see u in the purple rain  emancipation   free 2 do what i wanna  emancipation   break the chain  break the chain  ever since that eve did unto adam  alright  what somebody been sho nuff doin  2 me  watch it    i have been tryin  2 break the chain  get my little ass out the game  i would rather sing with a bit more harmony  oh  chorus  johnny please  huh  when i was on my knees  my back was broken and my spirit ill at ease  and now it seems just like the autumn leaves  your money turned from green 2 brown and now u best believe  chorus   emancipation   repeat in bg   break the chain  oh yeah  well  sho nuff  see u in the purple rain  emancipation   free 2 do what i wanna  break the   break the   break the chain   hey   alright   hey   x4   emancipation  free   do not think i ai not   emancipation","emancipation",1996,"Emancipation",6,"11","6","1990s","Top 10","Charted"
"61",557,"rave un2 the joy fantastic  rave rave un2 the joy fantastic  rave world full of lovers city full of good time  rave do not go undercover i can get you out of yo  mind  come on  rave all you need is a good walk and a brand new position then we can spread the real soul doin  it like a mission  rave  rave  ooh rave un2 the joy fantastic  rave everybody  rave un2 the joy fantastic  rave arrivederci cock poppy that was hip yesterday  rave  wow  wow new thing hittin  where it feel good would not you say  rave  tell me y all  ai not that the bomb  mack daddy ai not got no gun  rave everybody got a new thang new fun  scandalous  rave aah  you have gotta rave un2 the joy fantastic  rave everybody  rave un2 the joy fantastic  rave oww yeah  hmm come on  sugar  rave take a look inside yo  mind sista got a sizzler home  know she too hot    ooh  know she too hot  rave  rave brutha playin  apache scarf gaultier  stop  well  well  aww if i had a dollar every time they smiled i should not have jump and holla  cuz i should not have  be rich awhile  rave  everybody  rave rave un2 the joy fantastic  rave    oh  rave  rave un2 the joy fantastic    aye  aye  aye  aye  oww ","rave un2 the joy fantastic",1999,"Rave Un2 the Joy Fantastic",8,"18","8","1990s","Top 10","Charted"
"62",609,"stand up everybody  this is your life let me take you to another world  let me take you tonight you do not need no money  you do not need no clothes the second coming  anything goes sexuality is all you will ever need sexuality  let your body be free c amon everybody  yeah  this is your life i am talking about a revolution we gotta organize we do not need no segregation  we do not need no race new age revelation  i think we got a case i am okay as long as you are here with me sexuality is all we ever need reproduction of a new breed leaders  stand up  organize reproduction of a new breed leaders  stand up  organize reproduction of a new breed leaders  stand up  organize everybody reproduction of a new breed leaders  stand up  organize one time say reproduction of a new breed leaders  stand up  organize reproduction of a new breed leaders  stand up  organize we live in a world overrun by tourists tourists 89 flowers on their back  inventors of the accu jack they look at life through a pocket camera what  no flash again  they are all a bunch of double drags who teach their kids that love is bad half of the staff of their brain is on vacation mama  are you listening  we need a new breed leaders  stand up  organize do not let your children watch television until they know how to read or else all they will know how to do is cuss  fight and breed no child is bad from the beginning  they only imitate their atmosphere if they are in the company of tourists  alcohol and us history what to be expected is 3 minus 3  absolutely nothing stand up  organize we need a new breed leaders  stand up  organize i wanna be in the new breed  stand up  organize sexuality is all i will ever need sexuality  i am gonna let my body be free sexuality is all i will ever need sexuality  i am gonna let my body be free sexuality sexuality","sexuality",1981,"Controversy",88,"n/a","n/a","1980s","Top 100","Charted"
"63",94,"this might seem strange since so much time has passed and since only one of us still looks the same your words not mine  baby you are still fine  yes  you are like wine you get better with time so young and so naive that i never once believed that the memory of you would go through me like wind goes through the trees either you believe  baby that i would not deceive you you and i  side by side or somewhere in between i do not know  i do not know if this is a bore but i just can no longer ignore this fact so sublime you get better with time anyone who met you agrees that no one forgets you  most of all not me you can claim you are humble and hide but when it true  my dear  it not pride no  no  no  no a journey of my peers would find me guilty of so many crimes chose not to remind you that you get better with time oh  this might seem absurd to someone so cultured and to one who would grace any stage listen to me now when the hair that frames that face dark brown or silvery lace what is age but a cage  never mind you will be blind to not know that you get better with time","better with time",2009,"MPLSoUND",78,"-","78","2000s","Top 100","Charted"
"64",556,"one  two  one  two  three i was working part time in a five and dime my boss was mr  mcgee he told me several times that he did not like my kind  cause i was a bit too leisurely seems that i was busy doing something close too nothing but different than the day before that when i saw her  ooh  i saw her she walked in through the out door  out door she wore a raspberry beret the kind you find in a second hand store raspberry beret and if it was warm she would not wear much more raspberry beret i think i love her built like she was  she had the nerve to ask me if i planned to do her any harm so  look here  i put her on the back of my bike and a we went riding down by old man johnson farm i said now  overcast days never turned me on but something about the clouds and her mixed she was not to bright  but i could tell when she kissed me she knew how to get her kicks she wore a raspberry beret the kind you find in a second hand store raspberry beret and if it was warm she would not wear much more raspberry beret i think i love her the rain sounds so cool when it hits the barn roof and the horses wonder who you are thunder drowns out what the lightning sees you feel like a movie star listen  they say the first time ai not the greatest but i tell ya  if i had the chance to do it all again i would not change a stroke  cause baby i am the most with a girl as fine as she was then raspberry beret the kind you find in a second hand store raspberry beret if it was warm she would not wear much more raspberry beret i think i  think i  i think i love her raspberry beret the kind you find in a second hand store raspberry beret if it was warm she would not wear much more raspberry beret i think i love","raspberry beret",1985,"Around the World in a Day",2,"2","3","1980s","Top 10","Charted"
