document,text,source,genre
under the influence,so you can suck my dick if you do not like my shit  cause i was high when i wrote this so suck my dick two pills i pop   til my pupils swell up like two pennies i am clint eastwood in his mid twenties a young ass man with a trash can strapped to the back of his ass so the rats can not chew through his last pants i am like a mummy at night  fightin  with bright lightning frightened with five little white vicadin  pills bitin  him i am like a  in  wasp in the hospital lost stingin  the   outta everything i come across in the halls i light a candle and place it up on the mantle grab a knife at the blade and stab you with the  in  handle so when you find yourself wrapped up in the blinds  hurtin    it too late  cause once you are hung from the drapes  it curtains i am an instigator  380 slug penetrator degradin   creatin  murders to kill haters accused for every crime known through the equator they knew i did it for havin  blood on my  gators my weed will hit yo  chest like a double barrel gauge an  i am a black grenade that will blow up in yo  face with a fifth in me  when i guzzle remi i do shit on purpose you never hear me say  forgive me i am snatchin  every penny it gotta be that way   face it that weed i sold to you  brigade laced it you hidin  i make the president get a facelift z just afraid  handin  me they bracelets chillin  in the lab wasted i am the type that will drink kahlua and gin throw up on the mic your life is ruined  you get socked right on site and even at the million man march we gon  fight so you can suck my dick if you do not like my shit  cause i was high when i wrote this so suck my dick  cause i do not give a   if you do not like my shit  cause i was high when i wrote this so suck my dick i am a compulsive liar  settin  my preacher on fire slashin your tires  flyin  down fenkel and meyers plates expired  soon as i am hired  i am fired jackin  my dick off in a bed of barbed wire  hey  is bizarre performing     did not you read the flyer  special invited guest will be  richard pryor  are not you a male dancer   nah    i am retired  in  your   in the ass with a tire iron i am ripped  i am on an acid trip my dj in a coma for lettin  the record skip lettin  the record skip lettin  the record skip  damn   i am  in  anything when i am snortin  it gonna cost 300 dollars to get my pit bull an abortion some   asked for my autograph i called her a    spit beer in her face and laughed i drop bombs like i was in vietnam all  es is hoes  even my stinkin  ass mom aiyyo flashback  two feets  two deep up in that ass crack weed laced with somethin   pass that in amsterdam we only hang out with hash rats at a stop the violence rally  i blast gats be your mom on publishin   get your ass capped the kuniva  divide up your cash stack want your mother in  pockets ascap i do not need a platinum chain    i snatch shaq born loser  half theif and half black bring your boys and your guns and get laughed at   smacker  rich rappers get their jag jacked and found chopped up in a trash bag we stranglin  rappers until the point they can not yell  cause they crew is full of fags and sweeter than bake sales reckless  come from behind and snatch your necklace gruesome and causin more violence than nine hoodlums i grapple your adam apple until it crackle run right past you  turn around  grab you and stab you get executed  cuz i am a luni i got a yuk mouth and it polluted  i cock it back then shoot it i love snatchin  up players thugs and young ballers shoot up the household  even the young toddlers brigade barricade to bring the noise while the bullets break your bones up like christmas toys if i go solo  i am doin a song with bolo a big chinese   screamin kuniva yo yo i leave ya face leakin  run up in church and smack the preacher while he preachin take a swing at the deacon i used to tell cats that i sold weed and weight i was straight  til i got caught sellin    em shake i am ignorant  with the intent to snatch your rent i got kicked out of summer camp for havin sex in my tent with the superintendent daughter  my brain out of order i have been a kon artis since i was swimmin  in water in cahoots with this  named fall out von who got fired from ups for tryin  to send you a bomb i signed to a local label for fun say i got cancer  get dropped  take the advancement and run driveby you in the rain while you carry your son call your house and hang up on you for not givin  me none born straight up out a pussy but a son of a gun got a reputation for havin z runnin  they funds used to be the type of  that was foldin some one  til i met your fat mama  now i am rollin  in dough so you can suck my dick if you do not like my shit  cause i was high when i wrote this so suck my dick  cause i do not give a   if you do not like my shit  cause i was high when i wrote this so suck my dick suck my mother in dick  d 12 dirty mother in  dozen nasty like a stank slut   with thirty  in husbands bizarre kid  swifty mcveigh  the kon artis the kuniva  dirty harry and slim shady,eminem,hip-hop-rap
its ok,eminem infinite it ok eye kyu  check it out   eminem  hey kyu  eye kyu  chorus  it a broke day but everything is ok  it ok  i am up all night  but everything is alright  it alright  it a rough week  and i do not get enough sleep  i can not sleep  it a long year pretending i belong here  belong here  it a broke day but everything is ok  it ok  i am up all night  but everything is alright  it alright  it a rough week  and i do not get enough sleep  i can not sleep  it a long year pretending i belong here  belong here  verse 1  eminem one day i plan to be a family man happily married i wanna grow to be so old that i have to be carried till i am glad to be buried  and leave this crazy world and have at least a half a million for my baby girl it may be early to be planning this stuff cause i am still struggling hard to be the man  and it tough cause man it been rough  but still i manage enough i have been taken advantage of  damaged and scuffed my hands have been cuffed but i do not panic and huff  frantic and puff or plan to give up  the minute shit hits the fan it erupts i am anteing up double or nothing  i have been trouble enough and i am sick of struggling and suffering  see my destiny to rest at ease  till i am impressed and pleased with my progress  i will not settle for less than cheese i am on a quest to seize all  my own label to call way before my baby is able to crawl i am too stable to fall  the pressure motivates to know i hold the weight of boulders on my shoulder blades i seen the golden gates to heaven on earth where they do not pull a weapon on you when you stepping on turf  q eye kyu  chorus  it a broke day but everything is ok  it ok  i am up all night  but everything is alright  it alright  it a rough week  and i do not get enough sleep  i can not sleep  it a long year pretending i belong here  belong here  it a broke day but everything is ok  it ok  i am up all night  but everything is alright  it alright  it a rough week  and i do not get enough sleep  i can not sleep  it a long year pretending i belong here  belong here  verse 2  eminem i am going for broke  gambling and playing for keeps everyday in the streets  scrambling and paying for cheep  praying for sleep dreaming with a watering mouth wishing for a better life for my daughter and spouse in this slaughtering house  caught up in bouts with the root of all evil i have seen it turn beautiful people crude and deceitful and make them do shit illegal for these grant and jackson these transactions explain a man actions but in the mist of this insanity  i found my christianity  through god and there a wish he granted me he showed me how to cope with the stress and hope for the best  instead of mope and depressed always groping a mess  of flying over the nest to selling dope with the rest i quit smoking cess to open my chest life is stressful inside this cesspool  trying to wrestle  i almost bust a blood vessel my little brother trying to learn his mathematics he asthmatic  running home from school away from crack addicts kids attract static  children with automatics taking target practice on teens for starter jackets i am using smarter tactics to overcome this slum i will not become as dumb as some and succumb to scum it cumbersome  i am trying to do well on this earth but it been hell on this earth since i fell on this earth eye kyu  chorus  it a broke day but everything is ok  it ok  i am up all night  but everything is alright  it alright  it a rough week  and i do not get enough sleep  i can not sleep  it a long year pretending i belong here  belong here  it a broke day but everything is ok  it ok  i am up all night  but everything is alright  it alright  it a rough week  and i do not get enough sleep  i can not sleep  it a long year pretending i belong here  belong here  uh  it ok  yeah it alright  even though i can not sleep uh yeah  it ok  it alright  i can not sleep,eminem,hip-hop-rap
toy soldier encore premier,step by step  heart to heart left right left  we all fall down step by step  heart to heart  left right left we all fall down like toy soldiers bit by bit  torn apart  we never win but the battle wages on for toy soldiers i am supposed to be the soldier who never blows his composure even though i hold the weight of the whole world on my shoulders i am never supposed to show it  my crew ai not supposed to know it even if it means goin  toe to toe with a benzino it do not matter i would never drag them in battles that i can handle unless i absolutely have to i am supposed to set an example i need to be the leader  my crew looks for me to guide  em if some shit ever just pop off  i am supposed to be beside  em that ja shit i tried to squash it  it was too late to stop it there a certain line you just do not cross and he crossed it i heard him say hailie s name on a song and i just lost it it was crazy  this shit went way beyond some jay z and nas shit and even though the battle was won  i feel like we lost it i spent too much energy on it  honestly i am exhausted and i am so caught in it i almost feel i am the one who caused it this ai not what i am in hip hop for  it not why i got in it that was never my object for someone to get killed why would i wanna destroy something i help build it was not my intentions  my intentions was good i went through my whole career without ever mentionin  now it just out of respect for not runnin  my mouth and talkin  about something that i knew nothing about plus dre told me stay out  this just was not my beef so i did  i just fell back  watched and gritted my teeth while he all over tv yeah i am talkin  a man who literally saved my life like   it i understand this is business and this shit just is not none of my business but still knowin  this shit could pop off at any minute  cause step by step  heart to heart  left right left we all fall down like toy soldiers bit by bit  torn apart  we never win but the battle wages on for toy soldiers there used to be a time when you could just say a rhyme and would not have to worry about one of your people dyin  but now it elevated  cuz once you put someone kids in it the shit gets escalated  it ai not just words no more is it  it a different ball game  callin  names and you ai not just rappin  we actually tried to stop the 50 and ja beef from happenin  me and dre had sat with him  kicked it and had a chat with him and asked him not to start it he was not gonna go after him until ja started yappin  in magazines how we stabbed him   it 50 smash  em  mash  em and let him have it mean while my attention is pullin  in another direction some receptionist at the source who answers phones at his desk has an erection for me and thinks that i will be his resurrection tries to blow the dust off his mic and make a new record but now he  ed the game up  cuz one of the ways i came up was through that publication the same one that made me famous now the owner of it has got a grudge against me for nothin  well   it  that mother er can get it too    him then but i am so busy being pissed off i do not stop to think that we just inherited 50 beef with murder inc and he inherited mine which is fine ai not like either of us mind we still have soldiers that on the front line that willing to die for us as soon as we give the orders never to extort us  strictly to show they support us we will maybe shout  em out in a rap or up in a chorus to show them we love  em back and let  em know how important it is to have runyon avenue soldiers up in our corners their loyalty to us is worth more than any award is but i ai not try na have none of my people hurt and murdered it ai not worth it  i can not think of a perfecter way to word it then to just say that i love y all too much to see the verdict i will walk away from it all before i let it go any further but do not get it twisted  it not a plea that i am coppin  i am just willin  to be the bigger man if y all can quit poppin  off at your jaws well then i can  cuz frankly i am sick of talkin  i am not gonna let someone else coffin rest on my conscience  cuz step by step  heart to heart  left right left we all fall down like toy soldiers bit by bit  torn apart  we never win but the battle wages on for toy soldiers,eminem,hip-hop-rap
rap olympics final battle,now everybody from the 313 put your mother ing hands up and follow me everybody from the 313 put your mother ing hands up look look now while he stands tough notice that this man did not have his hands up this free world got you gased up now who afraid of the big bad wolf 1  2  3 and to the 4 1 pac  2 pac  3 pac  4 4 pac  3 pac  2 pac  1 you are pac  he pac  no pacs  none this guy ai not no mother  ing mc  i know everything he got to say against me  i am white  i am a  ing bum  i do live in a trailer with my mom  my boy future is an uncle tom  i do got a dumb friend named cheddar bob who shoots himself in the leg with his own gun  i did get jumped by all 6 of you chumps and wink did   my girl  i am still standing here screaming    the free world   do not ever try to judge me dude you do not know what the   i have been through but i know something about you you went to cranbrook  that a private school what the matter dawg  you embarrassed  this guy a gangster  he real name clarence and clarence lives at home with both parents and clarence parents have a real good marriage this guy do not wanna battle  he shook  cause there no such things as half way crooks he scared to death he scared to look in his  ing yearbook    cranbrook   the beat  i go acapella   a papa doc    a clock    a trailer    everybody   y all if you doubt me i am a piece of  ing white trash  i say it proudly and   this battle  i do not wanna win  i am outty  here  tell these people something they do not know about me ,eminem,hip-hop-rap
curtains up  skit,  prod  by eminem    curtains up     applausing     footsteps     mic sqeek     taps mic    eminem   k ahm  hhhh   ,eminem,hip-hop-rap
seduction,i do not know  man  just feels like we are a lot different kinda feels like we are on a whole different page right now it feels strange but um  i guess it kind of like  it kind of like i feel like i am morphin  into somethin  that so incredible that i am dwarfin  all competitors better get your girlfriend in check it psychological warfare  endorphin i effect your self esteem shatters as dialect comes blastin  out your deck  she loves me such a passion  you would expect this sort of reaction from her yet you strong arm  you are  in  corny you try to turn your charm on  cause you just think you are bishop  the don juan but if you think that you are  in  with me  homie  you are on one i am cockin  my head back like ed lover  c amon on  son she on my johnson  she brings my name up constant your boys are like   she  in  with dude  she wants some  homeboy  you better get a clue  she on my dick  cause she i spit better than you what you expect her to do  how you expect her to act in the sack when she closin  her eyes fantasizin  her diggin  her nails in my back to this track seduction  seduce ai not nobody who as good at what i do  it like a verbal seduction   cause one minute she loves you  the next she do not she been stolen from you  it like a verbal seduction  seduction  seduce ai not nobody who as good at what i do  cause one minute she loves you  the next she do not she been stolen from you  it like a verbal seduction  yeah  she sittin  here gettin  liquored up at the bar she says it quicker to count the things that ai not wrong with you than to count the things that are there a seven disc cd changer in her car and i am in every single slot and you are not  aw i am the logo on that dallas cowboys helmet  a star and i am not about to sit back and just keep rhymin  one syllable  nah switch it up and watch them haters not give it up  cause they are just not good enough but i am not givin  up  til i get my respect and i will not stop  til i get enough  cause i am not livin  up to my own expectations  aw that hater alarm is soundin  off  man obama took the bomb from my name  aw so quit cryin  that i took your dame  homie  she my dame  aw you sadly mistaken if you are thinkin  that i am not on my game  boy and thangs just ai not been that same since that day that i came forth you wear your heart on your sleeve  i sport that white tank boy but you got a hard on for me  what you hollerin  my name for  it your   on my dick ai not my dang fault  man  i can not call it seduction  seduce ai not nobody who as good at what i do  it like a verbal seduction   cause one minute she loves you  the next she do not she been stolen from you  it like a verbal seduction  seduction  seduce ai not nobody who as good at what i do  cause one minute she loves you  the next she do not she been stolen from you  it like a verbal seduction  yeah  it like we are playin  lyrical tug a war with your ear you hear it  girl  come here put your ear up to the speaker  dear while i freak this world premier seducin  her  loosen up with a little freestyle that will wait  am i losin  ya  am i makin  you look bad  well  i got news for ya homie  you are losin  her oh wait  you do not like it when i spit it fast  am i tryin  to show out  let me slow it down some it still gonna be a blow out you are gonna wanna throw out your whole album rummage through the shit and try to salvage somethin  to see if you can save any of it  punk but none of it  in  with me prick  you really feelin  that bullshit you think you are killin  them syllables  quit playin  these beats ai not nothin  to fool with they call me fire mashall  i shut this shit down your entire arsenal is not enough to   with one round i am also the opposite of what you are like you are a microcosm of what the   i am on the mic i am awesome and you are just awestruck she love stricken  she got her jaw stuck from suckin  my dick  aw    seduction  seduce ai not nobody who as good at what i do  it like a verbal seduction   cause one minute she loves you  the next she do not she been stolen from you  it like a verbal seduction  seduction  seduce ai not nobody who as good at what i do  cause one minute she loves you  the next she do not she been stolen from you  it like a verbal seduction  yeah ,eminem,hip-hop-rap
death becomes me,as your bony fingers close around me long and spindly death becomes me heaven can you see what i see hey you pale and sickly child you are death and living reconciled been walking home a crooked mile paying debt to karma you party for a living what you take will not kill you but careful what you are giving there no time for hesitating pain is ready  pain is waiting primed to do it educating unwanted  uninvited kin it creeps beneath your crawling skin it lives without it lives within you feel the fever coming you are shaking and twitching you can scratch all over but that will not stop you itching can you feel a little love can you feel a little love dream on dream on blame it on your karmic curse oh shame upon the universe it knows its lines it well rehearsed it sucked you in  it dragged you down to where there is no hallowed ground where holiness is never found paying debt to karma you party for a living what you take will not kill you but careful what you are giving can you feel a little love can you feel a little love dream on dream on,eminem,hip-hop-rap
wake up show freestyle,eminem miscellaneous wake up show freestyle  eminem  yo  speed racer  97  burgundy blazer wanted for burglary  had to ditch the mercury tracer i am on some low ish   i am fed up wit the being broke ish i am not to joke wit    i do not sell crack  i smoke it my brains dusted  i am disgusted at all my habits too many asprin tablets and empty medicine cabinets loosing battles to wack rappers  cause i am always too blunted walkin  up in the cypher smokin   talkin  like   who want it   thug and crook  every drug in the book i have done it my 9 at your frame is that your chain  run it who wants to die of an overdose of excessive flavor  aggressive nature got me stickin  you for your progressive pager spectacular  battle rap manufacturer stole your mom acura  wrecked it  then sold it back to her   right right right            ding          the doctors you will need after our battle are known as psychiatrics  i will tell the nurses to hold a bed for you   and i ama make sure you come back for it so barricade your infants  put up some extra fences a woman beater  wanted for repeated sex offenses   ooh     take em  on long vacation trips kidnappin  em  and trappin  em  in abusive relationships mess up your face and lips slit your stomach and watch your gut split gut you wit that razor that i use to shave my nuts wit   laughter   mama do not you cry  your son too far gone i am so high  i do not even know what label i am on i am messed up  feelin  like an over worked plumber i am sick of the crap  what dr  kevorkian phone number    ha   hot  ,eminem,hip-hop-rap
the sauce benzino diss,its all bad now man  its all bad it all  ed up now yeah ha ha  new shit  hey yo i just want the whole world to know  that i did not start this  but i will finish it comin up it never mattered was color you was if you could spit then you could spit  thats it  thats what it was back when  mother ers was straight back packin cypherin  fightin for life in this rap for the mic to get past and you psyched and you gasped and you hyped cuz you last and you might whoop some ass if you lost then you lost shake hands like a man and you swallowed it  when the unsigned hype column at the source was like  the only source of light when the mics used to mean somethin  a four was like you were the shit  now its like the least you get three and a half now just means you a peice of shit four and a half or five  means you biggie  jigga  nas  or benzino shit i do not eben think you realize you playin with mother ers lives  i done watched dre get  ed on the chronic  probably cuz i was on it now you  ed me outta my mics twice i let it slide i said i wouldnt hold my  in breath to get a five shit i was right  i woulda  in died already tryin i swear to god i never lie i bet thats why you let that   give me that bullshit review i sat and took it  i ai not look at the shit we knew you would probly try to   us with obie and 50 too   a relationship we through no more source with street credit  them days is dead dre got a ks to dave may head every issue there an eight page made men spread will somebody please tell whoever braids his head that i am not afraid  hes just a  in waste of lead on my pencil  for me to write some shit this simple so listen closely  as i break it down and proceed this old gs bout to get smoked like rolled weed you do not know me or my mother in mother you mother in punk put me on your  in cover just sell your little sell out mag i ai not mad i feel bad  heres an ad  heres a poster of ray ray and his dad you wanna talk about some shit that you dont know about  ya lets talk about how your puttin you own son out there and to try to eat off him  cuz you missed your boat your never gonna float   you are just too old no wonder you are sore now  lordy ya board now i am pushin thirty you kickin fourty door down   this is war now  and you will never beat me all you do is cheat me out of quotables but you know that you will always see me on your tv cuz you gotta stay up till three in the mornin to see your video played once on bet so he he he who has the last laugh  aftermath ya so on behalf on our whole staff kiss our ass hole cracks we will never fold or hold back just know that benzinos wack no matter how many times i say he stan  hell never blow jack your better off tryin to bring r s o back look at your track record thats how far it goes back its extortion and ray owns a prportion so half of the staff up there is fresh outta jail from boston bullyin and bossin  caged like a slave they have completely brainwashed him and forced him to stay locked in his own office afraid of the softest fakest  wannabe gangster in new york and its pitiful  cuz i never woulda said shit to you if you would kept your mouth shut   now what  hit it clue  spit it slay new shit  exclusive yo lantern  yo whoo kid you know what to do with this  use it i am through  this is stupid  i cant believe i stooped to this bullshit to do this    and who you callin a       you owe me ,eminem,hip-hop-rap
intro relapse ii,may i have your attention please may i have your attention please will the real slim shady please stand up  i repeat  will the real slim shady please stand up  were gonna have a problem here     verse 1  yall act like you never seen a white person before jaws all on the floor like pam like tommy just burst in the door started whoopin her ass worst than before they first were dirvorced sold her old furniture  scream  its the return of the  awww wait  no way  your kidding he didnt just say what i think he did  did he    and dr dre said    nothing you idiots dr dres dead hes locked in my basement  haha  feminist women loved eminem chicka chicka chicka slim shady im sick of him look at him walking around grabing his you know what flippin the you know who  yea but hes so cute though  yeah i probably got a couple of screws up in my head loose but no worse than whats going on in your parents bedrooms sometimes i wanna get on tv and let loose  but cant  but its cool for tom green to hump a dead moose  my bum is on your lips my bum is on your lips and if im lucky u might just give it a little kiss  and thats the messege we deliver to little kids and expect them not to know what a womens  vagina  is of course theyre gonna know what intercourse is by the time they hit 4th grade  they got the discovery channel dont they  we aint nothing but mammals  well some of us cannibals who  rip  other people open like canolopes but if we can hump dead animals and antelopes then theres no reason that a man and another man cant elope  ughh  but if you feel like i feel i got the antadoite women wave your pantyhose  sing the and it gooooesss  refrain  im slim shady yes im the real shady all you other slim shadys are just imitating so wont the real slim shady    please stand up  please stand up  please stand up cause im slim shady yes im the real shady all you other slim shadys are just imitating so wont the real slim shady    please stand up  please stand up  please stand up  verse 2  will smith dont gotta cuss in his raps to sell records well i do  so  f     him and  f     you too you think i give a damn about a grammy  half of you critics cant even stomach me  let alone stand me  but slim what if u win wouldnt it be weird   why  so you guys can just lie to get me here  so you can sit me here next to britney spears s    christina aguilera better switch me chairs so i can sit next to carson daily and fred durst and hear them argue over who she gave  head  to first little     put me on blast on mtv  yea hes cute but i think hes married to kim  hehe  i should download a audio on mp3 and show the whole world how you gave eminem  head   scream  im sick of you little golden boy groups all you do is annoy me so i been sent in here to destroy you and theres a million of us just like me who cuss like me who just dont give a  f     like me who dress like me walk  talk and act like me it just might be the next best thing but not quite me  refrain   verse 3  im like a headtrip to listen to cause im only giving you things you joke about with your friends inside your living room the only difference is i got the balls to say it in front of yall and i dont got to be false or sugar coat it at all i just get on the mic and spit it wheather you like to admit it im better than 90  of you rappers out there then you wanna outkin kids like these albums like its funny cuz the rate im going when im 30 ill be the only person in the nursing home flirting pinching nurses asses when im  hard  jerkin im jerking but this whole bag of viagra isnt working and every single person is a slim shady lurkin he could be workin at burger king spitten on your onion rings were in the parking lot circling screaming i dont give a  f     with his windows down and system up so will the real shady  please stand up and put one of those fingers on each hand up and to be proud to out of your mind and out of control and one more time  loud as you can  how does it go  ha ha guess theres a slim shady in all of us   it  lets all stand up,eminem,hip-hop-rap
shake that,shady  aftermath there she goes shaking that ass on the floor bumpin  and grindin  that pole the way she grindin  that pole i think i am losing control get buzzed  get drunk  get crunked  get  ed up hit the strip club do not forget ones get your dick rubbed get  ed  get sucked  get wasted  shit faceted pasted  blasted  puke drink up  get a new drink hit the bathroom sink  throw up wipe your shoe clean  got a routine knowin  still got a few chunks on them shoestrings showin i was dehydrated till the beat vibrated i was revibed as soon as this   gyrated  em hips and licked them lips and that was it i had to get nate dogg here to sing some shit  nate dogg  two to the one from the one to the three i like good pussy and i like good trees smoke so much weed you would not believe and i get more ass than a toilet seat three to the one from the one to the three i met a bad   last night in the d let me tell you how i made her leave with me conversation and hennessey i have been to the mother in  mountain top heard mother ers talk  seen em drop if i ai not got a weapon i ama pick up a rock and when i bust yo ass i am gon  continue to rock getcha ass of the wall with your two left feet it real easy just follow the beat do not let that fly girl pass you by look real close  cause strobe lights lie we  bout to have a party  turn the music up  let get it started  go head shake your butt  i am lookin  for a girl with a body and a sexy strut wanna get it poppin  baby step right up some girls they act retarded some girls are  bout it  bout it i am lookin  for a girl that will do whatever the   i say everyday she be givin  it up shake that ass for me  shake that ass for me come on girl  shake that ass for me  shake that ass for me ohh girl  shake that ass for me  shake that ass for me come on girl  shake that ass for me  shake that ass for me i am a menace  a dentist  an oral hygienist open your mouth for about four or five minutes take a little bit of this fluoride rinse swish but do not spit it  swallow and i will finish yeah me and nate d o double g looking for a couple  es with some double d pop a little champagne and a couple e slip it in her bubbley  we finna finna have a party have a party  turn the music up  let get it started  go head shake your butt  i am lookin  for a girl i can   in my hummer truck apple bottom jeans and a big ol butt some girls they act retarded some girls are  bout it  bout it i want a   that sit at the crib with no panties on knows that she can  but she will not say no now look at this lady all in front of me  sexy as can be tonight i want a slut  would you be mine  heard you was freaky from a friend of mine now i ama hope you do not get mad at me but i told nate you was a freak he said he wants a slut  hope you do not mind i told him how you like it from behind shake that ass for me  shake that ass for me come on girl  shake that ass for me  shake that ass for me ohh girl  shake that ass for me  shake that ass for me come on girl  shake that ass for me  shake that ass for me we  bout to have a party  turn the music up  let get it started  go head shake your butt  i am lookin  for a girl with a body and a sexy strut wanna get it poppin  baby step right up some girls they act retarded some girls are  bout it  bout it i am lookin  for a girl that will do whatever the   i say everyday she be givin  it up there she goes  shaking that ass on the floor bumpin  and grindin  that pole the way she grindin  that pole i think i am losing control c amon  i ai not leaving without you     your comin  home with me and my boy  and his boy  and hid boy and his girl    nate dogg,eminem,hip-hop-rap
who want it,we been the killas with everything from chest wets to death treaths the best yet and s gettin their neck check best check to protect detroit is only known know for best threats so bet we got decks and hecks collect debt and rest the goon sqad we reck your whole set we rep the midwest you reppin s get wrong speak on your songy songs sendin them home stone sprone and broken bones better leave us the  k alone keep it runnin thru s ca not even stomach what the d got comin waitin until they frontin and poppin off at the chops boy we poppin off shots guaranteeing a spot at the top first place for s gettin guys who think you  kin with trick and eminem no you not mother  er so next time you see us be sure that you make a hole and when they mention the d get down on all fours got big killas with big guns  who want it  come to my hood get some  who want it  wanna start shit in the club boy  who want it  touched up  who want it   ed up  who want it  got big killas with big guns  who want it  come to my hood get some  who want it  wanna start shit in the club boy  who want it  touched up  who want it   ed up  who want it  ooh wow  look at the  es up in this club man i am gettin me some digits fo i leave up out this mug and it like oh pal  wam  bam  thank you ma am i ai not kissin you on the lips  but i will be glad to shake your hand now let get blew out  let start some shit tonight just let me pick the chick that i am a leave here with tonight before we get the fighting  and throughout this music makes me rally  how they gonna play that new trick trick and expect no one to get their shit spit it just too wild  and one more shot of hypnotic and i am not in control of my body  i go robotic and blow a fuse out homies is like you are startin to static and i am nah that just my swagger but i am dancing with this fat girl and gettin loose now  i do not wanna fight  i feel like partying till  this idiot dumps his bacardi on my cardigan and knocks my screws out it never fails  i am know i am going to jail i might as well take the laces out my shoes now got big killas with big guns  who want it  come to my hood  get some  who want it  wanna start shit in the club boy  who want it  touched up  who want it   ed up  who want it  got big killas with big guns  who want it  come to my hood  get some  who want it  wanna start shit in the club boy  who want it  touched up  who want it   ed up  who want it  i hear them screamin god damn it there goes the eminem there ai not no hittin him that think that we just cranked up but he been them it trick and them goon sqad gangstas you can not get to him we down for the bang and the brawl but now we killin him see ever since we started you might of had to pardon our hardest from the largest city they sayin that we retarded and  brought us over some of their artists got dropped you think i am playin then bring it come on let see what you got we make the club go bang  gun shot  you got that light noise see ai not nobody  ing with this  and this white boy that been through the realest and the pros street just like hoes we put the thugs on on him and  we do not give a   about nothin you used to do this record is not equalient to high scool musical no blaming paul or dre blame me for everything i say cause i got him  got big killas with big guns  who want it  come to my hood  get some  who want it  wanna start shit in the club boy  who want it  touched up  who want it   ed up  who want it  got big killas with big guns  who want it  come to my hood  get some  who want it  wanna start shit in the club boy  who want it  touched up  who want it   ed up  who want it ,eminem,hip-hop-rap
moms spaghetti,look  if you had mom spaghetti  would you capture it or just let it slip  yo his palms spaghetti  knees weak  arms spaghetti there vomit on his sweater spaghetti  mom spaghetti he nervous  but on the surface he looks calm spaghetti to drop bombs  but he keeps on spaghetti what he wrote down  the whole crowd goes spaghetti he opens his mouth  but spaghetti will not come out he choking how  everybody joking now spaghetti run out  time up  over  bloah  snap back to spaghetti  oh there goes spaghetti oh  there goes spaghetti  bloah he so mad  but he will not give up spaghetti  no  he will not have it  he knows he keeps on forgetting that mom spaghetti dope he knows that but he broke he so stagnant  he knows when he goes back to his mom spaghetti  that when it back to the lab again  yo this whole spaghetti he better go capture spaghetti and hope it do not pass him you better lose yourself in mom spaghetti  it ready you better never let it go go  you only get one spaghetti  do not miss your chance to blow cause spaghetti comes once in a lifetime yo you better lose yourself in mom spaghetti  it ready you better never let it go go  you only get one spaghetti  do not miss your chance to blow cause spaghetti comes once in a lifetime yo  you better  the soul escaping  through this hole that is gaping mom spaghetti mine for the taking make me spaghetti  as we move toward a new world order a normal sweater is boring  but mom spaghetti close to post mortem it only grows harder  spaghetti grows hotter he vomits all over  spaghetti all on him coast to coast shows  he blows his own daughter he only grows harder  only grows hotter he goes home and barely knows his own mom spaghetti there vomit on his mom spaghetti his hoes do not want him no more  he cold spaghetti they moved on to the next schmoe who flows man he knows his palms are sweaty ope hes calm and ready ope and unfolds i suppose it old spaghetti chewed up and spit out he chokin now you better lose yourself in mom spaghetti  it ready you better never let it go go  you only get one spaghetti  do not miss your chance to blow cause spaghetti comes once in a lifetime yo you better lose yourself in mom spaghetti  it ready you better never let it go go  you only get one spaghetti  do not miss your chance to blow cause spaghetti comes once in a lifetime yo  you better  no more games  i ama change what you call spaghetti tear this mother ing roof off like two mom spaghettis i was playing in the beginning  the mood all changed spaghetti chewed up and spit out and there vomit on his sweater but i kept chewin and stepped right into the next cypher hold your nose cause here goes the damn diaper all the vomit inside amplified by the fact that i keep on forgetting to make spaghetti and i can not provide the right type of spaghetti for my family cause man  these goddamn food stamps do not buy spaghetti and it no movie  there no mom spaghetti  this is my life and these palms are so sweaty  and i am so hard my seed escaping through this hole that is gaping caught up between being a father and a prima donna baby vomit on his sweater already mom spaghetti he nervous bloah another day of monotony has gotten me to the point  i am like a mom i have got to formulate spaghetti or i end up in jail or shot spaghetti is my only mother ing option  vomit not mom  i love you  but this vomit got to go ope ope  led de dome de dome led de dome de dome so here i go it my shot  this may be the only mom spaghetti that i got you better lose yourself in mom spaghetti  it ready you better never let it go go  you only get one spaghetti  do not miss your chance to blow cause spaghetti comes once in a lifetime yo you better lose yourself in mom spaghetti  it ready you better never let it go go  you only get one spaghetti  do not miss your chance to blow cause spaghetti comes once in a lifetime yo  you better  mom spaghetti you can do anything man,eminem,hip-hop-rap
slim shady,two trailer park girls go round the outside  round the outside  round the outside  guess whos back  back again,eminem,hip-hop-rap
